pl_name,hostname,default_flag,pl_rade,pl_radeerr1,pl_radeerr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_eqt,pl_eqterr1,pl_eqterr2,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,pl_rade_unc,pl_orbper_unc,pl_eqt_unc,st_teff_unc,st_rad_unc,st_mass_unc,proxy_habitable
WASP-154 b,WASP-154,1,10.76062147,0.67253884,-0.67253884,3.811678,1e-06,-1e-06,994.0,63.0,-63.0,4774.0,133.0,-133.0,0.823,0.047,-0.047,0.8,0.05,-0.05,0.67253884,1e-06,63.0,0.047,0.047,0.05,0
WASP-155 b,WASP-155,1,13.45077684,0.67253884,-0.67253884,3.110413,1e-06,-1e-06,1468.0,76.0,-76.0,5660.0,100.0,-100.0,1.24,0.06,-0.06,1.09,0.07,-0.07,0.67253884,1e-06,76.0,0.06,0.06,0.07,0
WASP-156 b,WASP-156,1,6.02802815,0.12763915,-0.12019801,3.8361623,1.5e-06,-1.5e-06,934.5,13.95,-14.04,4987.0,57.0,-56.0,0.8268,0.0138,-0.014,0.8712,0.025,-0.0267,0.12391858,1.5e-06,13.995,0.0139,0.0139,0.02585,0
WASP-157 b,WASP-157,1,11.19,0.28,-0.28,3.951623,1.8e-05,-1.8e-05,1193.0,24.0,-24.0,5772.0,86.0,-86.0,1.1,0.03,-0.03,1.06,0.04,-0.04,0.28,1.8e-05,24.0,0.03,0.03,0.04,0
WASP-158 b,WASP-158,1,11.99363,1.68135,-1.68135,3.656333,4e-06,-4e-06,1590.0,80.0,-80.0,6350.0,150.0,-150.0,1.39,0.18,-0.18,1.38,0.14,-0.14,1.68135,4e-06,80.0,0.18,0.18,0.14,0
WASP-159 b,WASP-159,1,15.46842,1.00881,-1.00881,3.840401,7e-06,-7e-06,1850.0,50.0,-50.0,6120.0,140.0,-140.0,2.11,0.1,-0.1,1.41,0.12,-0.12,1.00881,7e-06,50.0,0.1,0.1,0.12,0
WASP-160 B b,WASP-160 B,1,12.21781,0.526823,-0.459569,3.7684952,3.5e-06,-3.5e-06,1119.0,25.0,-23.0,5298.0,99.0,-99.0,0.868,0.031,-0.028,0.87,0.071,-0.068,0.493196,3.5e-06,24.0,0.0295,0.0295,0.0695,0
WASP-161 b,WASP-161,1,12.811887,0.728585,-0.650122,5.4060425,4.8e-06,-4.8e-06,1557.0,34.0,-29.0,6400.0,100.0,-100.0,1.712,0.083,-0.072,1.39,0.14,-0.14,0.6893535,4.8e-06,31.5,0.0775,0.0775,0.14,0
WASP-162 b,WASP-162,1,11.209,0.56045,-0.56045,9.62468,1e-05,-1e-05,910.0,20.0,-20.0,5300.0,100.0,-100.0,1.11,0.05,-0.05,0.95,0.04,-0.04,0.56045,1e-05,20.0,0.05,0.05,0.04,0
WASP-163 b,WASP-163,1,13.473218,1.087273,-1.087273,1.6096884,1.5e-06,-1.5e-06,1638.0,68.0,-68.0,5500.0,200.0,-200.0,1.015,0.071,-0.074,0.97,0.15,-0.15,1.087273,1.5e-06,68.0,0.0725,0.0725,0.15,0
WASP-164 b,WASP-164,1,12.643752,0.459569,-0.481987,1.7771255,2.8e-06,-2.8e-06,1610.0,58.0,-53.0,5806.0,190.0,-200.0,0.932,0.028,-0.03,0.946,0.067,-0.071,0.47077800000000003,2.8e-06,55.5,0.028999999999999998,0.028999999999999998,0.069,0
WASP-165 b,WASP-165,1,14.12334,2.12971,-1.90553,3.465509,2.3e-05,-2.3e-05,1624.0,93.0,-89.0,5599.0,150.0,-150.0,1.75,0.18,-0.18,1.248,0.072,-0.07,2.01762,2.3e-05,91.0,0.18,0.18,0.07100000000000001,0
WASP-166 b,WASP-166,1,7.06167,0.33627,-0.33627,5.44354,4e-06,-4e-06,1270.0,30.0,-30.0,6050.0,50.0,-50.0,1.22,0.06,-0.06,1.19,0.06,-0.06,0.33627,4e-06,30.0,0.06,0.06,0.06,0
WASP-167 b,WASP-167,1,17.71022,0.56045,-0.56045,2.0219596,6e-07,-6e-07,2329.0,64.0,-64.0,7000.0,250.0,-250.0,1.79,0.05,-0.05,1.59,0.08,-0.08,0.56045,6e-07,64.0,0.05,0.05,0.08,0
WASP-168 b,WASP-168,1,16.8135,5.6045,-3.3627,4.153658,3e-06,-3e-06,1340.0,40.0,-40.0,6000.0,100.0,-100.0,1.12,0.06,-0.06,1.08,0.05,-0.05,4.4836,3e-06,40.0,0.06,0.06,0.05,0
WASP-169 b,WASP-169,1,14.616536,1.68135,-0.818257,5.6114118,9.2e-06,-9.2e-06,1604.0,74.0,-42.0,6110.0,101.0,-101.0,2.011,0.188,-0.089,1.337,0.083,-0.083,1.2498035,9.2e-06,58.0,0.1385,0.1385,0.083,0
WASP-170 b,WASP-170,1,12.285064,0.952765,-0.952765,2.34478022,3.6e-06,-3.6e-06,1422.0,42.0,-42.0,5600.0,150.0,-150.0,0.938,0.056,-0.061,0.93,0.15,-0.15,0.952765,3.6e-06,42.0,0.058499999999999996,0.058499999999999996,0.15,0
WASP-171 b,WASP-171,1,10.98482,0.78463,-0.44836,3.8186244,3.8e-06,-3.8e-06,1642.0,51.0,-35.0,5965.0,100.0,-100.0,1.637,0.091,-0.046,1.171,0.058,-0.058,0.616495,3.8e-06,43.0,0.0685,0.0685,0.058,0
